type,subtype,fuel_type,nox,pm10,pm2_5,co,voc,nh3,so2,benzene,n2o
2/3 Wheelers,3 Wheelers,PETROL,0.19604948277028,0.00856568906286272,0.00856568906286272,4.97910705116056,0.504141638516723,0.00196678307223429,0.00041684372128242,0.0245294913157849,0.00213784090080514
2/3 Wheelers,Mopeds,PETROL,0.19604948277028,0.00856568906286272,0.00856568906286272,4.97910705116056,0.504141638516723,0.00196678307223429,0.00041684372128242,0.0245294913157849,0.00213784090080514
2/3 Wheelers,Motorcycles & Scooters,Petrol,0.19604948277028,0.00856568906286272,0.00856568906286272,4.97910705116056,0.504141638516723,0.00196678307223429,0.00041684372128242,0.0245294913157849,0.00213784090080514
2/3 Wheelers,Motorcycles & Scooters,PETROL,0.19604948277028,0.00856568906286272,0.00856568906286272,4.97910705116056,0.504141638516723,0.00196678307223429,0.00041684372128242,0.0245294913157849,0.00213784090080514
CARS,exc. Off-Road,DIESEL,0.604520199398282,0.0124623503813077,0.0124623503813077,0.0560881473468948,0.011642280291731,0.001614153281804,0.000796049265016703,0.000230517149776274,0.00667505259937378
CARS,exc. Off-Road,PETROL,0.0893267325271631,0.00125985708152842,0.00125985708152842,0.923619780262345,0.0977976340701049,0.0168393100958554,0.000590314935776052,0.00255732467732157,0.00152560626268205
CARS,exc. Off-Road,PETROL/LPG,0.0893267325271631,0.00125985708152842,0.00125985708152842,0.923619780262345,0.0977976340701049,0.0168393100958554,0.000590314935776052,0.00255732467732157,0.00152560626268205
CARS,Off-Road,DIESEL,0.604520199398282,0.0124623503813077,0.0124623503813077,0.0560881473468948,0.011642280291731,0.001614153281804,0.000796049265016703,0.000230517149776274,0.00667505259937378
CARS,Off-Road,PETROL,0.0893267325271631,0.00125985708152842,0.00125985708152842,0.923619780262345,0.0977976340701049,0.0168393100958554,0.000590314935776052,0.00255732467732157,0.00152560626268205
CARS,Off-Road,PETROL/LPG,0.0893267325271631,0.00125985708152842,0.00125985708152842,0.923619780262345,0.0977976340701049,0.0168393100958554,0.000590314935776052,0.00255732467732157,0.00152560626268205
HCVs,Artics < 29000 Kgs,DIESEL,1.08959351317422,0.0191827882134332,0.0191827882134332,0.551524052953118,0.0284398026630417,0.00897295271589641,0.00392904740402309,0.0000199078618641292,0.0541413492247134
HCVs,Artics 29001-32520 Kgs,DIESEL,1.08959351317422,0.0191827882134332,0.0191827882134332,0.551524052953118,0.0284398026630417,0.00897295271589641,0.00392904740402309,0.0000199078618641292,0.0541413492247134
HCVs,Artics >32520 Kgs - 2 Axle Tractor,DIESEL,1.08959351317422,0.0191827882134332,0.0191827882134332,0.551524052953118,0.0284398026630417,0.00897295271589641,0.00392904740402309,0.0000199078618641292,0.0541413492247134
HCVs,Artics >32520 Kgs - 3 Axle Tractor,DIESEL,1.08959351317422,0.0191827882134332,0.0191827882134332,0.551524052953118,0.0284398026630417,0.00897295271589641,0.00392904740402309,0.0000199078618641292,0.0541413492247134
HCVs,Rigids 2 Axle 12001-15000 Kgs,DIESEL,1.82726567217222,0.0273472286774925,0.0273472286774925,0.580867717416495,0.041480497813267,0.0082008493384556,0.00290992925001235,0.0000290363484692869,0.0304571293064956
HCVs,Rigids 2 Axle >15000 Kgs,DIESEL,1.82726567217222,0.0273472286774925,0.0273472286774925,0.580867717416495,0.041480497813267,0.0082008493384556,0.00290992925001235,0.0000290363484692869,0.0304571293064956
HCVs,Rigids 2 Axle 3501-7400 Kgs,DIESEL,1.82726567217222,0.0273472286774925,0.0273472286774925,0.580867717416495,0.041480497813267,0.0082008493384556,0.00290992925001235,0.0000290363484692869,0.0304571293064956
HCVs,Rigids 2 Axle 7401-7500 Kgs,DIESEL,1.82726567217222,0.0273472286774925,0.0273472286774925,0.580867717416495,0.041480497813267,0.0082008493384556,0.00290992925001235,0.0000290363484692869,0.0304571293064956
HCVs,Rigids 2 Axle 7501-12000 Kgs,DIESEL,1.82726567217222,0.0273472286774925,0.0273472286774925,0.580867717416495,0.041480497813267,0.0082008493384556,0.00290992925001235,0.0000290363484692869,0.0304571293064956
HCVs,Rigids 3 Axle,DIESEL,1.82726567217222,0.0273472286774925,0.0273472286774925,0.580867717416495,0.041480497813267,0.0082008493384556,0.00290992925001235,0.0000290363484692869,0.0304571293064956
HCVs,Rigids 4 Axle,DIESEL,1.82726567217222,0.0273472286774925,0.0273472286774925,0.580867717416495,0.041480497813267,0.0082008493384556,0.00290992925001235,0.0000290363484692869,0.0304571293064956
LCVs,4x4 Utilities,DIESEL,0.604520199398282,0.0124623503813077,0.0124623503813077,0.0560881473468948,0.011642280291731,0.001614153281804,0.000796049265016703,0.000230517149776274,0.00667505259937378
LCVs,4x4 Utilities,PETROL,0.0893267325271631,0.00125985708152842,0.00125985708152842,0.923619780262345,0.0977976340701049,0.0168393100958554,0.000590314935776052,0.00255732467732157,0.00152560626268205
LCVs,Car-Derived/Integral <2000 Kgs,DIESEL,1.25731990219653,0.0212018575247103,0.0212018575247103,0.159588097505481,0.0357826504549332,0.0015408129758248,0.00113739647323456,0.000708496479007678,0.00666574234759278
LCVs,Car-Derived/Integral <2000 Kgs,PETROL,0.134859213382124,0.00161015995958509,0.00161015995958509,2.25217936527199,0.0913987123601995,0.0238901928418264,0.000848981572146719,0.00292604047363001,0.00318824124860003
LCVs,Car-Derived/Integral <2000 Kgs,PETROL/LPG,0.134859213382124,0.00161015995958509,0.00161015995958509,2.25217936527199,0.0913987123601995,0.0238901928418264,0.000848981572146719,0.00292604047363001,0.00318824124860003
LCVs,Car-Derived/Integral 2001-2499 Kgs,DIESEL,1.25731990219653,0.0212018575247103,0.0212018575247103,0.159588097505481,0.0357826504549332,0.0015408129758248,0.00113739647323456,0.000708496479007678,0.00666574234759278
LCVs,Car-Type Pick-Up 2001-2600 Kgs,DIESEL,1.25731990219653,0.0212018575247103,0.0212018575247103,0.159588097505481,0.0357826504549332,0.0015408129758248,0.00113739647323456,0.000708496479007678,0.00666574234759278
LCVs,Heavy Vans 2601-3500 Kgs,DIESEL,1.25731990219653,0.0212018575247103,0.0212018575247103,0.159588097505481,0.0357826504549332,0.0015408129758248,0.00113739647323456,0.000708496479007678,0.00666574234759278
LCVs,Heavy Vans 2601-3500 Kgs,PETROL,0.134859213382124,0.00161015995958509,0.00161015995958509,2.25217936527199,0.0913987123601995,0.0238901928418264,0.000848981572146719,0.00292604047363001,0.00318824124860003
LCVs,Medium Vans 2001-2600 Kgs,DIESEL,1.25731990219653,0.0212018575247103,0.0212018575247103,0.159588097505481,0.0357826504549332,0.0015408129758248,0.00113739647323456,0.000708496479007678,0.00666574234759278
LCVs,Medium Vans 2001-2600 Kgs,PETROL,0.134859213382124,0.00161015995958509,0.00161015995958509,2.25217936527199,0.0913987123601995,0.0238901928418264,0.000848981572146719,0.00292604047363001,0.00318824124860003
LCVs,Medium Vans 2001-2600 Kgs,PETROL/LPG,0.134859213382124,0.00161015995958509,0.00161015995958509,2.25217936527199,0.0913987123601995,0.0238901928418264,0.000848981572146719,0.00292604047363001,0.00318824124860003
LCVs,Pickups,DIESEL,1.25731990219653,0.0212018575247103,0.0212018575247103,0.159588097505481,0.0357826504549332,0.0015408129758248,0.00113739647323456,0.000708496479007678,0.00666574234759278
PSVs,Fare Stage Buses,DIESEL,3.671328748244,0.0441790445204835,0.0441790445204835,1.04541105923831,0.0720190268813749,0.003,0.00404046150788261,0.0000504133188169625,0.0305810915127408
PSVs,Light & Heavy Coaches,DIESEL,3.671328748244,0.0441790445204835,0.0441790445204835,1.04541105923831,0.0720190268813749,0.003,0.00404046150788261,0.0000504133188169625,0.0305810915127408
SPVs,Quad Bikes,DIESEL,0.19604948277028,0.00856568906286272,0.00856568906286272,4.97910705116056,0.504141638516723,0.00196678307223429,0.00041684372128242,0.0245294913157849,0.00213784090080514
SPVs,Quad Bikes,PETROL,0.19604948277028,0.00856568906286272,0.00856568906286272,4.97910705116056,0.504141638516723,0.00196678307223429,0.00041684372128242,0.0245294913157849,0.00213784090080514
TAXIS,<3500 Kgs,DIESEL,0.604520199398282,0.0124623503813077,0.0124623503813077,0.0560881473468948,0.011642280291731,0.001614153281804,0.000796049265016703,0.000230517149776274,0.00667505259937378
,,DIESEL,0.604520199398282,0.0124623503813077,0.0124623503813077,0.0560881473468948,0.011642280291731,0.001614153281804,0.000796049265016703,0.000230517149776274,0.00667505259937378
,,PETROL,0.0893267325271631,0.00125985708152842,0.00125985708152842,0.923619780262345,0.0977976340701049,0.0168393100958554,0.000590314935776052,0.00255732467732157,0.00152560626268205
